category,measure,mean_score,participant_count
Feedback Quality,Feedback Clarity,3.50,4
Feedback Quality,Timing Accuracy,3.25,4
Feedback Quality,Correction Understandability,3.25,4
Feedback Quality,Low Interruption,4.25,4
Feedback Quality,Feedback Trust,3.75,4
Learning Support,Error Awareness,4.75,4
Learning Support,Actionable Correction,4.50,4
Learning Support,Improved Next Attempt,4.25,4
Learning Support,Reflection Support,4.50,4
Learning Support,Better than Self-Review,4.75,4
Training Value,Solo Practice Support,4.50,4
Training Value,Post-Review Usefulness,4.75,4
Training Value,Progress Tracking,4.25,4
Training Value,Coach Supplement,4.50,4
Training Value,Willingness to Use,4.25,4
